,longitude,latitude,2002,2006,2010,2014,2018,2022
0,-109.0,37.0,0.0,1.0748275260203748,10.394136344010953,9.192910912270989,3.9835879956043243,2.083431745604326
1,-109.0,37.0427,0.0,1.0031366545152487,7.625445176226773,6.565297813312711,1.6847759471654058,0.5423361454656899
2,-109.0,37.08540000000001,0.0,1.1114690697025615,9.32544550558148,5.412403108464002,0.7871541386837855,0.638188651046427
3,-109.0,37.12810000000001,0.0,1.6337401913555105,11.018625475941448,7.373900698959844,-0.0670219200877824,1.1285695977693635
4,-109.0,37.170800000000014,0.0,14.944759608566166,23.93497376258687,16.822075233861632,12.488741900528296,2.8188200255282965
5,-109.0,37.21350000000002,0.0,5.26544908681511,27.74681010758068,3.05465506130799,-2.0748521502304698,-0.31899277523046976
6,-109.0,37.25620000000002,0.0,0.5921773232209802,8.466734619836565,8.354688980768941,1.9534025615960147,4.641475282460682
7,-109.0,37.298900000000025,0.0,0.7080679047715321,8.891278214073054,5.4641864776704665,1.2576530830626282,2.686076796297911
8,-109.0,37.34160000000003,0.0,-0.5810886104160531,9.214693100199568,5.341842699484893,1.2120296414491918,1.8706512932348929
9,-109.0,37.38430000000003,0.0,1.8149514272903957,10.287980869825141,6.609121885172833,1.4109407328290828,2.7518770121259664
10,-109.0,37.42700000000004,0.0,1.2087879191059159,9.414603013571046,5.064230643534827,-0.26892890576796447,0.25771062983960746
11,-109.0,37.46970000000004,0.0,2.348483312586417,7.84147058465755,6.521638267358959,2.0794253808285603,1.656735555094805
12,-109.0,37.51240000000004,0.0,3.5612657173247655,21.19645392078752,16.758364344036508,9.161013392132702,2.5621202934353065
13,-109.0,37.555100000000046,0.0,2.261375814278324,10.751652638803591,8.92748876384421,0.6785746859954855,0.3496515524002035
14,-109.0,37.59780000000005,0.0,3.597241097227908,12.235403939781776,10.12049349972986,-1.1741151017552767,1.7927243165615465
15,-109.0,37.64050000000005,0.0,6.057880788470882,12.22582289200082,11.329640387701076,-1.525755211549864,6.5971965674763595
16,-109.0,37.683200000000056,0.0,8.199602651465923,16.52483428338006,15.11784566594244,-1.772669126377302,3.1041186871023143
17,-109.0,37.72590000000006,0.0,7.965590127963388,19.331785515376403,17.42805182150847,2.0972389494846624,4.123903756032284
18,-109.0,37.76860000000006,0.0,22.296074723069204,33.669265506194755,21.99564349742031,1.7523318967008876,4.2815936435534
19,-109.0,37.81130000000007,0.0,12.662786377708976,17.709721362229097,14.032205503619316,-3.3853809621280178,5.272564989829277
20,-109.0,37.85400000000007,0.0,7.872058580023179,17.554118447923756,12.368436620517798,-2.9287361119517215,1.8785595244812114
21,-109.0,37.89670000000008,0.0,5.273748035032568,15.273319314864352,10.908065453581102,-3.176740624493327,3.6076128848108766
22,-109.0,37.93940000000008,0.0,5.718925412409092,24.31561183848295,12.401467071383479,-1.0242818955586586,2.35234839886283
23,-109.0,37.98210000000008,0.0,2.078619576531864,17.292688917392127,7.679435393218952,-4.860334343623165,-3.3858277646757955
24,-109.0,38.02480000000008,0.0,0.812195316534897,14.41707361110528,15.26842733558503,-4.791610872665473,-4.548231306313582
25,-109.0,38.06750000000009,0.0,-0.42894872960390984,7.1803163058982165,5.024989717053288,-4.200264341784603,-6.888729460192806
26,-109.0,38.11020000000009,0.0,1.2821183780275192,8.16158082306979,5.15139054745643,-2.131371301757717,-4.541301158093667
27,-109.0,38.152900000000095,0.0,-1.1689735915134492,5.848516686009809,3.933227025993368,-4.037003076545695,-8.273747003547648
