,longitude,latitude
0,-109.0,37.0
1,-109.0,37.0427
2,-109.0,37.08540000000001
3,-109.0,37.12810000000001
4,-109.0,37.170800000000014
5,-109.0,37.21350000000002
6,-109.0,37.25620000000002
7,-109.0,37.298900000000025
8,-109.0,37.34160000000003
9,-109.0,37.38430000000003
10,-109.0,37.427000000000035
11,-109.0,37.46970000000004
12,-109.0,37.51240000000004
13,-109.0,37.555100000000046
14,-109.0,37.59780000000005
15,-109.0,37.64050000000005
16,-109.0,37.683200000000056
17,-109.0,37.72590000000006
18,-109.0,37.76860000000006
19,-109.0,37.81130000000007
20,-109.0,37.85400000000007
21,-109.0,37.896700000000074
22,-109.0,37.93940000000008
23,-109.0,37.98210000000008
24,-109.0,38.024800000000084
25,-109.0,38.06750000000009
26,-109.0,38.11020000000009
27,-109.0,38.152900000000095
28,-109.0,38.1956000000001
29,-109.0,38.2383000000001
30,-109.0,38.281000000000105
31,-109.0,38.32370000000011
32,-109.0,38.36640000000011
33,-109.0,38.409100000000116
34,-109.0,38.45180000000012
35,-109.0,38.49450000000012
36,-109.0,38.53720000000013
37,-109.0,38.57990000000013
38,-109.0,38.62260000000013
39,-109.0,38.66530000000014
40,-109.0,38.70800000000014
41,-109.0,38.750700000000144
42,-109.0,38.79340000000015
43,-109.0,38.83610000000015
44,-109.0,38.878800000000155
45,-109.0,38.92150000000016
46,-109.0,38.96420000000016
47,-109.0,39.006900000000165
48,-109.0,39.04960000000017
49,-109.0,39.09230000000017
50,-109.0,39.135000000000176
51,-109.0,39.17770000000018
52,-109.0,39.22040000000018
53,-109.0,39.263100000000186
54,-109.0,39.30580000000019
55,-109.0,39.34850000000019
56,-109.0,39.3912000000002
57,-109.0,39.4339000000002
58,-109.0,39.476600000000204
59,-109.0,39.51930000000021
60,-109.0,39.56200000000021
61,-109.0,39.604700000000214
62,-109.0,39.64740000000022
63,-109.0,39.69010000000022
64,-109.0,39.732800000000225
65,-109.0,39.77550000000023
66,-109.0,39.81820000000023
67,-109.0,39.860900000000235
68,-109.0,39.90360000000024
69,-109.0,39.94630000000024
70,-109.0,39.989000000000246
71,-109.0,40.03170000000025
72,-109.0,40.07440000000025
73,-109.0,40.117100000000256
74,-109.0,40.15980000000026
75,-109.0,40.20250000000026
76,-109.0,40.24520000000027
77,-109.0,40.28790000000027
78,-109.0,40.330600000000274
79,-109.0,40.37330000000028
80,-109.0,40.41600000000028
81,-109.0,40.458700000000285
82,-109.0,40.50140000000029
83,-109.0,40.54410000000029
84,-109.0,40.586800000000295
85,-109.0,40.6295000000003
86,-109.0,40.6722000000003
87,-109.0,40.714900000000306
88,-109.0,40.75760000000031
89,-109.0,40.80030000000031
90,-109.0,40.843000000000316
91,-109.0,40.88570000000032
92,-109.0,40.92840000000032
93,-109.0,40.97110000000033
94,-108.9573,37.0
95,-108.9573,37.0427
96,-108.9573,37.08540000000001
97,-108.9573,37.12810000000001
98,-108.9573,37.170800000000014
99,-108.9573,37.21350000000002
100,-108.9573,37.25620000000002
101,-108.9573,37.298900000000025
102,-108.9573,37.34160000000003
103,-108.9573,37.38430000000003
104,-108.9573,37.427000000000035
105,-108.9573,37.46970000000004
106,-108.9573,37.51240000000004
107,-108.9573,37.555100000000046
108,-108.9573,37.59780000000005
109,-108.9573,37.64050000000005
110,-108.9573,37.683200000000056
111,-108.9573,37.72590000000006
112,-108.9573,37.76860000000006
113,-108.9573,37.81130000000007
114,-108.9573,37.85400000000007
115,-108.9573,37.896700000000074
116,-108.9573,37.93940000000008
117,-108.9573,37.98210000000008
118,-108.9573,38.024800000000084
119,-108.9573,38.06750000000009
120,-108.9573,38.11020000000009
121,-108.9573,38.152900000000095
122,-108.9573,38.1956000000001
123,-108.9573,38.2383000000001
124,-108.9573,38.281000000000105
125,-108.9573,38.32370000000011
126,-108.9573,38.36640000000011
127,-108.9573,38.409100000000116
