,Longitude,Latitudes
0,-108.97865,37.02135
1,-108.97865,37.106750000000005
2,-108.97865,37.19215
3,-108.97865,37.277550000000005
4,-108.97865,37.36295
5,-108.97865,37.448350000000005
6,-108.97865,37.53375
7,-108.97865,37.619150000000005
8,-108.97865,37.70455
9,-108.97865,37.789950000000005
10,-108.97865,37.87535
11,-108.97865,37.960750000000004
12,-108.97865,38.04615
13,-108.97865,38.131550000000004
14,-108.97865,38.21695
15,-108.97865,38.302350000000004
16,-108.97865,38.38775
17,-108.97865,38.473150000000004
18,-108.97865,38.55855
19,-108.97865,38.643950000000004
20,-108.97865,38.72935
21,-108.97865,38.814750000000004
22,-108.97865,38.90015
23,-108.97865,38.98555
24,-108.97865,39.070949999999996
25,-108.97865,39.15635
26,-108.97865,39.241749999999996
27,-108.97865,39.32715
28,-108.97865,39.412549999999996
29,-108.97865,39.49795
30,-108.97865,39.583349999999996
31,-108.97865,39.66875
32,-108.97865,39.754149999999996
33,-108.97865,39.83955
34,-108.97865,39.924949999999995
35,-108.97865,40.01035
36,-108.97865,40.095749999999995
37,-108.97865,40.18115
38,-108.97865,40.266549999999995
39,-108.97865,40.35195
40,-108.97865,40.437349999999995
41,-108.97865,40.52275
42,-108.97865,40.608149999999995
43,-108.97865,40.69355
44,-108.97865,40.778949999999995
45,-108.97865,40.86435
46,-108.97865,40.94975
47,-108.89325,37.02135
48,-108.89325,37.106750000000005
49,-108.89325,37.19215
50,-108.89325,37.277550000000005
51,-108.89325,37.36295
52,-108.89325,37.448350000000005
53,-108.89325,37.53375
54,-108.89325,37.619150000000005
55,-108.89325,37.70455
56,-108.89325,37.789950000000005
57,-108.89325,37.87535
58,-108.89325,37.960750000000004
59,-108.89325,38.04615
60,-108.89325,38.131550000000004
61,-108.89325,38.21695
62,-108.89325,38.302350000000004
63,-108.89325,38.38775
64,-108.89325,38.473150000000004
65,-108.89325,38.55855
66,-108.89325,38.643950000000004
67,-108.89325,38.72935
68,-108.89325,38.814750000000004
69,-108.89325,38.90015
70,-108.89325,38.98555
71,-108.89325,39.070949999999996
72,-108.89325,39.15635
73,-108.89325,39.241749999999996
74,-108.89325,39.32715
75,-108.89325,39.412549999999996
76,-108.89325,39.49795
77,-108.89325,39.583349999999996
78,-108.89325,39.66875
79,-108.89325,39.754149999999996
80,-108.89325,39.83955
81,-108.89325,39.924949999999995
82,-108.89325,40.01035
83,-108.89325,40.095749999999995
84,-108.89325,40.18115
85,-108.89325,40.266549999999995
86,-108.89325,40.35195
87,-108.89325,40.437349999999995
88,-108.89325,40.52275
89,-108.89325,40.608149999999995
90,-108.89325,40.69355
91,-108.89325,40.778949999999995
92,-108.89325,40.86435
93,-108.89325,40.94975
94,-108.80785,37.02135
95,-108.80785,37.106750000000005
96,-108.80785,37.19215
97,-108.80785,37.277550000000005
98,-108.80785,37.36295
99,-108.80785,37.448350000000005
100,-108.80785,37.53375
101,-108.80785,37.619150000000005
102,-108.80785,37.70455
103,-108.80785,37.789950000000005
104,-108.80785,37.87535
105,-108.80785,37.960750000000004
106,-108.80785,38.04615
107,-108.80785,38.131550000000004
108,-108.80785,38.21695
109,-108.80785,38.302350000000004
110,-108.80785,38.38775
111,-108.80785,38.473150000000004
112,-108.80785,38.55855
113,-108.80785,38.643950000000004
114,-108.80785,38.72935
115,-108.80785,38.814750000000004
116,-108.80785,38.90015
117,-108.80785,38.98555
118,-108.80785,39.070949999999996
119,-108.80785,39.15635
120,-108.80785,39.241749999999996
121,-108.80785,39.32715
122,-108.80785,39.412549999999996
123,-108.80785,39.49795
124,-108.80785,39.583349999999996
125,-108.80785,39.66875
126,-108.80785,39.754149999999996
127,-108.80785,39.83955
128,-108.80785,39.924949999999995
129,-108.80785,40.01035
130,-108.80785,40.095749999999995
131,-108.80785,40.18115
132,-108.80785,40.266549999999995
133,-108.80785,40.35195
134,-108.80785,40.437349999999995
135,-108.80785,40.52275
136,-108.80785,40.608149999999995
137,-108.80785,40.69355
138,-108.80785,40.778949999999995
139,-108.80785,40.86435
140,-108.80785,40.94975
141,-108.72245,37.02135
142,-108.72245,37.106750000000005
143,-108.72245,37.19215
144,-108.72245,37.277550000000005
145,-108.72245,37.36295
146,-108.72245,37.448350000000005
147,-108.72245,37.53375
148,-108.72245,37.619150000000005
149,-108.72245,37.70455
150,-108.72245,37.789950000000005
151,-108.72245,37.87535
152,-108.72245,37.960750000000004
153,-108.72245,38.04615
154,-108.72245,38.131550000000004
155,-108.72245,38.21695
156,-108.72245,38.302350000000004
157,-108.72245,38.38775
158,-108.72245,38.473150000000004
159,-108.72245,38.55855
160,-108.72245,38.643950000000004
161,-108.72245,38.72935
162,-108.72245,38.814750000000004
163,-108.72245,38.90015
164,-108.72245,38.98555
165,-108.72245,39.070949999999996
166,-108.72245,39.15635
167,-108.72245,39.241749999999996
168,-108.72245,39.32715
169,-108.72245,39.412549999999996
170,-108.72245,39.49795
171,-108.72245,39.583349999999996
172,-108.72245,39.66875
173,-108.72245,39.754149999999996
174,-108.72245,39.83955
175,-108.72245,39.924949999999995
176,-108.72245,40.01035
177,-108.72245,40.095749999999995
178,-108.72245,40.18115
179,-108.72245,40.266549999999995
180,-108.72245,40.35195
181,-108.72245,40.437349999999995
182,-108.72245,40.52275
183,-108.72245,40.608149999999995
184,-108.72245,40.69355
185,-108.72245,40.778949999999995
186,-108.72245,40.86435
187,-108.72245,40.94975
188,-108.63705,37.02135
189,-108.63705,37.106750000000005
190,-108.63705,37.19215
191,-108.63705,37.277550000000005
192,-108.63705,37.36295
