epoch,accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss
0,0.14897717535495758,0.10709908604621887,2.3904531002044678,0.0837843269109726,0.09096942096948624,2.4008665084838867
1,0.31662407517433167,0.14842525124549866,2.0536928176879883,0.06801358610391617,0.09022369235754013,2.411176919937134
2,0.4316574037075043,0.20873717963695526,1.8044915199279785,0.15954264998435974,0.09201102703809738,2.3926215171813965
3,0.5377019643783569,0.2784753739833832,1.569524884223938,0.18497949838638306,0.09564640372991562,2.35295033454895
4,0.583326518535614,0.3242073655128479,1.4268651008605957,0.259432852268219,0.09929847717285156,2.3169188499450684
5,0.6110914945602417,0.3618859648704529,1.337127447128296,0.33974501490592957,0.103973887860775,2.281554698944092
6,0.6316709518432617,0.3905768394470215,1.2745647430419922,0.34463804960250854,0.10929062217473984,2.2428383827209473
7,0.6526947021484375,0.42135095596313477,1.2091484069824219,0.34424343705177307,0.11642944812774658,2.2057387828826904
8,0.6698874235153198,0.4380261301994324,1.1488579511642456,0.3441711962223053,0.12313283234834671,2.185492753982544
9,0.6791661977767944,0.4584353268146515,1.1168856620788574,0.34593963623046875,0.12212544679641724,2.184509038925171
10,0.6765047311782837,0.4559935927391052,1.1142559051513672,0.3460288345813751,0.13511328399181366,2.1482667922973633
11,0.6885956525802612,0.4678748846054077,1.0731618404388428,0.35018405318260193,0.137942373752594,2.1374154090881348
12,0.6947558522224426,0.4816039800643921,1.0439252853393555,0.34871986508369446,0.1393403559923172,2.1531565189361572
13,0.6981335878372192,0.4869180917739868,1.0315049886703491,0.34989190101623535,0.1560497134923935,2.1273751258850098
14,0.700580358505249,0.4989253580570221,1.0130523443222046,0.35330986976623535,0.15072579681873322,2.122615337371826
15,0.7035228610038757,0.5002924799919128,1.0063201189041138,0.35065358877182007,0.17349834740161896,2.1061999797821045
16,0.7123338580131531,0.5082975029945374,0.9792935848236084,0.3562156558036804,0.17909638583660126,2.0807018280029297
17,0.7030640244483948,0.5008960962295532,0.9941456913948059,0.358514666557312,0.19553862512111664,2.0700888633728027
18,0.7109981775283813,0.5157713890075684,0.9665932059288025,0.3647133409976959,0.2051999419927597,2.0428576469421387
19,0.7171690464019775,0.5223456621170044,0.9509562253952026,0.3675762712955475,0.21729226410388947,2.025888442993164
20,0.7174444198608398,0.5213936567306519,0.9425931572914124,0.38825303316116333,0.22028307616710663,1.9572107791900635
21,0.7223401069641113,0.5303707122802734,0.9215238690376282,0.39765694737434387,0.23450757563114166,1.923720359802246
22,0.7202231287956238,0.5287257432937622,0.9295769333839417,0.4068615734577179,0.24991874396800995,1.8898015022277832
23,0.734643816947937,0.5444748997688293,0.882518470287323,0.42386022210121155,0.25755152106285095,1.8259979486465454
24,0.7303460836410522,0.544931173324585,0.895621120929718,0.43538564443588257,0.2749711275100708,1.7811665534973145
25,0.7267571687698364,0.5424376130104065,0.9043178558349609,0.43555665016174316,0.28264424204826355,1.7782578468322754
26,0.7316808700561523,0.5479700565338135,0.8838664293289185,0.4396309554576874,0.30126017332077026,1.7427268028259277
27,0.7348715662956238,0.5515072345733643,0.8710989356040955,0.4458716809749603,0.3141670227050781,1.7396653890609741
28,0.7183630466461182,0.538216233253479,0.9297173619270325,0.4555624723434448,0.3306709825992584,1.6817752122879028
29,0.7349323630332947,0.5502017140388489,0.8718889951705933,0.4625619947910309,0.3405579626560211,1.6378682851791382
30,0.7420046329498291,0.5585534572601318,0.8506687879562378,0.49376970529556274,0.3577880859375,1.494003176689148
31,0.7466808557510376,0.5712920427322388,0.8345130681991577,0.49095457792282104,0.3654276132583618,1.516283392906189
32,0.739432692527771,0.5631834268569946,0.8602972626686096,0.5072445869445801,0.3709234893321991,1.437476634979248
33,0.7470071911811829,0.5716731548309326,0.8319169282913208,0.5108800530433655,0.38458251953125,1.4209920167922974
34,0.7433982491493225,0.5668928623199463,0.84242182970047,0.5184634923934937,0.39222273230552673,1.3909679651260376
35,0.7484810948371887,0.5675396919250488,0.8232489824295044,0.532913863658905,0.40462958812713623,1.344834327697754
36,0.7463922500610352,0.5701513886451721,0.8325759768486023,0.5356811285018921,0.41743919253349304,1.340070128440857
37,0.7485896348953247,0.5693843364715576,0.8241358399391174,0.5382258296012878,0.41883885860443115,1.317274570465088
38,0.7468461394309998,0.5682119727134705,0.8222182989120483,0.5446328520774841,0.43112361431121826,1.2945348024368286
39,0.7515895366668701,0.5732463002204895,0.8117743134498596,0.5575469732284546,0.437869668006897,1.2273600101470947
40,0.7587425708770752,0.5809202790260315,0.7898869514465332,0.5671267509460449,0.44333019852638245,1.2062541246414185
41,0.7608928084373474,0.5864822864532471,0.7803204655647278,0.5758559107780457,0.45198574662208557,1.1813414096832275
42,0.763923168182373,0.5906956195831299,0.7715072631835938,0.5812918543815613,0.45923304557800293,1.1637219190597534
43,0.7629289031028748,0.5922404527664185,0.7724071145057678,0.5882589817047119,0.4658121168613434,1.1439216136932373
44,0.7563582062721252,0.5856669545173645,0.791560709476471,0.5892805457115173,0.46758219599723816,1.1328494548797607
45,0.7537660598754883,0.5843128561973572,0.8040304780006409,0.5918900966644287,0.47107210755348206,1.1202908754348755
46,0.7593932747840881,0.5838062763214111,0.786095142364502,0.5986922979354858,0.4776988923549652,1.1093153953552246
47,0.7429988980293274,0.5697312951087952,0.8353158831596375,0.6015608310699463,0.48490872979164124,1.0943875312805176
48,0.7613936066627502,0.5897753238677979,0.7784233093261719,0.596380889415741,0.4840919077396393,1.1243561506271362
49,0.7667880058288574,0.5945279598236084,0.7605873346328735,0.6103253364562988,0.4882074296474457,1.0726133584976196
