epoch,accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss
0,0.5905104279518127,0.39620456099510193,0.9912543296813965,0.589453935623169,0.19609633088111877,1.4105405807495117
1,0.6704773306846619,0.525894284248352,0.7318316698074341,0.658711850643158,0.25584110617637634,1.2220969200134277
2,0.7199050784111023,0.5908127427101135,0.5829096436500549,0.6879010200500488,0.3034206032752991,1.085555911064148
3,0.741808295249939,0.6299298405647278,0.5130160450935364,0.7255242466926575,0.3899359703063965,0.8898503184318542
4,0.7597541213035583,0.6620497107505798,0.4523792266845703,0.7379140257835388,0.4582761228084564,0.7603732943534851
5,0.7687997221946716,0.6795163750648499,0.4179309904575348,0.7557351589202881,0.5366632342338562,0.6238070130348206
6,0.7740882039070129,0.6844078302383423,0.4061828851699829,0.7560071349143982,0.5860668420791626,0.5550719499588013
7,0.780226469039917,0.6951076984405518,0.3879714906215668,0.7705998420715332,0.6213279366493225,0.4922043979167938
8,0.7856306433677673,0.6996559500694275,0.375998318195343,0.7721110582351685,0.6572241187095642,0.4506009519100189
9,0.7918825745582581,0.7082445621490479,0.36071503162384033,0.7838271856307983,0.6929401159286499,0.39718174934387207
10,0.7986220121383667,0.7211269736289978,0.3382723331451416,0.7830941677093506,0.6996294260025024,0.3964845836162567
11,0.7976340055465698,0.7185269594192505,0.3445209860801697,0.7894765138626099,0.7200383543968201,0.36118245124816895
12,0.8000416159629822,0.722536563873291,0.3411708474159241,0.7891330122947693,0.7228251695632935,0.3578472435474396
13,0.8056787848472595,0.7335535883903503,0.3172176480293274,0.7972491383552551,0.7338916659355164,0.3361976742744446
14,0.8090299963951111,0.7383097410202026,0.3075810968875885,0.8000989556312561,0.7462297677993774,0.324187695980072
15,0.8095859885215759,0.7403117418289185,0.30554941296577454,0.7970036268234253,0.745017945766449,0.3326539993286133
16,0.8125930428504944,0.7454533576965332,0.2955355942249298,0.8029273152351379,0.754098117351532,0.3102278411388397
17,0.8151019215583801,0.7503692507743835,0.28630074858665466,0.8031439185142517,0.7544154524803162,0.3133709728717804
18,0.815223217010498,0.7514070868492126,0.28550395369529724,0.8061140775680542,0.7614561915397644,0.30307087302207947
19,0.8174905180931091,0.754845142364502,0.27912819385528564,0.8035504221916199,0.7547065615653992,0.3144291639328003
20,0.816888689994812,0.7545905709266663,0.28038856387138367,0.8047724962234497,0.7571593523025513,0.30845144391059875
21,0.8188219666481018,0.7594531774520874,0.2728247046470642,0.8034666776657104,0.7567845582962036,0.30953043699264526
22,0.8214747309684753,0.7599162459373474,0.26859936118125916,0.8068316578865051,0.7602829337120056,0.3066740334033966
23,0.8221562504768372,0.7593012452125549,0.27136921882629395,0.8071614503860474,0.7647957801818848,0.29944533109664917
